▲ Next.js 16.2.10 (webpack)
- Local:         http://localhost:3465
- Network:       http://192.168.30.129:3465
✓ Ready in 1122ms

○ Compiling /[module] ...
 GET /dashboard 200 in 3.4s (next.js: 2.1s, generate-params: 2.1s, application-code: 1345ms)
 GET /staffpay?section=export 200 in 347ms (next.js: 12ms, generate-params: 78µs, application-code: 335ms)
 GET /staffpay?section=export 200 in 227ms (next.js: 9ms, generate-params: 56µs, application-code: 219ms)
 GET /staffpay?section=reconciliation 200 in 297ms (next.js: 25ms, generate-params: 13ms, application-code: 272ms)
 GET /staffpay?section=reconciliation 200 in 852ms (next.js: 7ms, generate-params: 102µs, application-code: 845ms)
 GET /staffpay?section=adjustments 200 in 1306ms (next.js: 88ms, generate-params: 79ms, application-code: 1218ms)
 GET /staffpay?section=adjustments 200 in 873ms (next.js: 34ms, generate-params: 19ms, application-code: 838ms)
 GET /dashboard 200 in 1408ms (next.js: 25ms, generate-params: 15ms, application-code: 1383ms)
 GET /dashboard 200 in 1420ms (next.js: 28ms, generate-params: 17ms, application-code: 1391ms)
 GET /action-inbox 200 in 303ms (next.js: 33ms, generate-params: 22ms, application-code: 270ms)
 GET /action-inbox 200 in 328ms (next.js: 32ms, generate-params: 18ms, application-code: 296ms)
 GET /settings 200 in 731ms (next.js: 10ms, generate-params: 48µs, application-code: 721ms)
 GET /settings 200 in 1590ms (next.js: 36ms, generate-params: 19ms, application-code: 1553ms)
 GET /staff-doctors 200 in 890ms (next.js: 23ms, generate-params: 17ms, application-code: 867ms)
 GET /staff-doctors 200 in 682ms (next.js: 33ms, generate-params: 23ms, application-code: 650ms)
 GET /staff-doctors?section=people 200 in 869ms (next.js: 7ms, generate-params: 51µs, application-code: 862ms)
 GET /staff-doctors?section=people 200 in 533ms (next.js: 26ms, generate-params: 15ms, application-code: 507ms)
 GET /staff-doctors?section=credentials 200 in 582ms (next.js: 12ms, generate-params: 65µs, application-code: 570ms)
 GET /staff-doctors?section=credentials 200 in 375ms (next.js: 24ms, generate-params: 16ms, application-code: 350ms)
 GET /roster 200 in 889ms (next.js: 11ms, generate-params: 72µs, application-code: 877ms)
 GET /roster 200 in 538ms (next.js: 18ms, generate-params: 14ms, application-code: 520ms)
